47.46	4.47	0.00	0.26	0.78	11.95	0.38	13.91	0.81	1.23	1.20	0.00	0.00	0.13	0.92	2.35	0.19	2.45	0.00	0.00	0.00	0.70	0.01	0.64	0.78
43.42	7.73	0.00	0.42	2.22	13.71	0.89	4.13	5.13	0.51	8.57	0.00	0.21	2.71	2.79	1.61	0.90	2.61	0.00	0.00	0.26	2.38	0.08	1.52	2.22
43.53	4.23	0.00	0.00	4.93	11.28	2.00	0.82	0.29	6.34	5.30	0.00	0.19	3.17	6.67	11.72	1.45	6.55	0.00	0.00	0.00	0.41	0.01	0.07	4.93
41.91	2.84	0.00	0.76	0.10	6.98	2.48	0.00	4.63	17.62	19.16	0.42	0.73	2.18	12.14	22.30	1.01	35.07	0.44	0.48	0.00	0.28	0.00	0.72	0.10
34.49	4.79	0.00	0.68	0.25	20.76	1.16	0.00	1.81	6.99	10.21	0.65	0.02	1.23	7.52	12.14	0.12	10.98	0.00	0.10	0.22	0.63	0.00	0.43	0.25
113.44	4.80	0.00	1.21	0.32	6.61	3.92	0.00	3.35	2.14	0.19	0.10	0.00	0.19	0.47	1.81	0.00	0.81	0.45	0.19	0.00	2.80	0.71	0.07	0.32
13.97	3.56	0.00	0.00	0.38	3.44	0.22	0.30	1.17	4.18	21.92	0.00	0.40	8.29	4.43	0.95	0.62	12.58	0.68	0.36	0.00	1.53	0.14	1.70	0.38
18.67	4.74	0.00	0.00	0.00	7.63	0.33	0.75	6.92	2.50	16.57	0.00	0.09	3.49	5.63	2.11	0.00	6.75	0.65	0.43	0.00	3.66	0.01	0.74	0.00
18.16	7.68	0.00	0.00	0.00	5.51	0.54	0.49	5.33	2.05	7.75	0.00	0.04	2.54	2.80	1.29	0.00	2.08	0.24	0.31	0.06	2.67	0.00	4.03	0.00
76.13	8.09	0.00	0.00	3.14	33.88	0.55	2.33	6.97	0.18	5.63	0.00	0.19	0.61	4.46	6.28	4.03	3.86	0.26	0.13	0.26	2.46	0.54	38.79	3.14
12.48	8.68	0.00	0.00	1.24	7.93	0.81	0.04	1.95	1.26	5.52	0.20	0.33	1.74	6.05	4.62	2.09	5.93	0.17	0.11	0.28	2.95	0.54	0.57	1.24
