0.17	0.54	17.99	0.94	1.92	9.03	0.31	0.69	3.22	25.54	29.88	8.41	6.80	0.12	0.40	0.14	1.62
0.09	0.69	35.62	1.64	5.98	4.13	0.63	0.57	18.36	13.33	2.00	0.39	3.01	0.19	1.47	0.02	0.34
0.00	0.38	17.14	1.14	6.99	1.24	0.33	0.33	12.88	9.19	1.71	0.59	1.64	0.35	0.33	0.09	0.14
0.41	6.27	32.49	0.24	10.70	9.36	0.52	0.12	2.26	19.83	19.65	1.13	6.99	0.33	0.18	0.01	0.67
0.24	2.06	28.43	0.95	8.01	0.08	0.61	0.35	8.70	16.10	9.17	1.01	0.90	0.32	0.65	0.00	0.80
0.62	1.14	33.21	1.35	16.75	7.64	0.97	0.03	4.19	34.62	33.41	1.87	8.06	0.95	0.68	0.02	0.09
0.00	4.09	15.93	2.25	7.65	3.65	0.33	0.55	17.70	12.99	2.50	0.16	2.51	0.51	0.20	0.06	0.00
0.05	1.14	11.72	1.63	1.00	49.94	2.29	1.46	1.10	14.51	50.53	22.74	53.20	1.89	2.10	0.15	4.21
0.78	0.15	31.99	1.41	4.98	0.63	3.16	0.13	2.29	11.03	8.98	0.11	0.49	0.33	0.63	0.25	0.13
0.00	0.37	2.69	0.20	1.36	17.56	0.09	0.11	3.67	4.54	0.83	0.10	4.61	0.28	0.41	0.32	0.00
0.00	1.06	1.32	0.73	1.18	17.35	0.36	0.13	3.66	4.67	1.00	0.11	5.20	0.26	0.30	0.21	0.08
0.00	0.72	8.27	1.09	2.07	3.94	0.25	0.52	7.45	3.56	0.72	0.17	2.08	0.61	0.35	0.05	0.08
0.00	0.51	12.96	1.48	7.96	21.73	0.59	0.00	8.10	17.65	6.75	0.27	9.31	0.29	0.63	0.36	0.00
0.00	0.55	3.47	1.08	5.65	3.88	0.00	0.45	6.72	2.78	0.60	0.81	2.44	0.17	0.50	0.10	0.03
0.00	0.50	13.70	1.12	3.97	5.66	0.48	1.09	3.95	12.57	8.79	6.80	4.96	0.29	0.49	0.16	0.81
0.00	0.25	16.64	1.24	5.96	33.11	0.73	0.11	10.79	10.99	2.14	0.34	13.68	0.35	0.06	0.15	0.00
0.00	0.70	9.35	1.90	9.49	17.02	0.23	0.67	14.78	8.54	1.94	1.62	6.35	0.85	0.18	0.18	0.92
0.29	0.14	15.32	0.80	7.27	17.25	0.17	0.20	1.92	9.89	6.40	0.19	12.30	0.19	0.30	0.03	1.21
0.00	0.34	1.32	0.84	2.05	0.44	0.52	0.62	3.93	1.65	0.28	0.09	0.97	0.42	0.41	0.05	1.07
0.00	0.88	8.86	1.12	1.01	15.13	0.62	1.22	7.28	6.43	1.80	9.98	5.36	0.48	0.46	0.03	0.43
0.00	1.41	7.57	0.79	2.04	16.74	0.22	0.89	5.25	9.13	5.22	7.98	10.35	0.30	0.22	0.23	0.91
0.00	0.73	7.40	0.75	0.46	14.69	0.10	1.70	3.29	12.62	13.32	15.16	12.12	0.31	1.12	0.21	1.21
0.00	1.38	6.31	1.40	10.92	7.36	0.53	0.36	4.02	8.11	3.64	0.17	4.15	0.96	0.30	0.18	0.15
0.00	0.58	3.30	0.52	2.44	10.74	0.15	0.81	5.73	5.53	0.87	1.04	2.21	0.46	0.21	0.19	0.08
0.43	0.50	10.29	0.83	9.58	3.96	0.77	0.18	3.38	18.63	19.81	1.88	5.16	0.10	0.35	0.03	17.79
0.33	1.10	22.61	1.29	19.03	13.70	0.52	0.00	4.85	25.98	22.51	0.57	11.32	0.03	0.28	0.08	0.28
0.62	7.33	11.26	1.55	19.29	29.13	0.92	0.45	3.00	25.29	22.85	0.50	22.52	0.79	0.55	0.52	0.04
0.72	0.70	10.58	1.76	17.71	23.45	1.22	0.15	2.88	20.62	18.28	0.40	17.64	0.37	0.64	0.36	0.46
0.00	2.34	12.57	1.46	1.65	33.13	1.02	1.48	11.20	5.05	1.21	1.40	15.76	0.50	0.75	0.15	1.12
0.00	2.38	8.24	1.05	1.61	30.86	0.19	0.56	7.27	5.86	1.64	0.57	11.55	0.06	0.28	0.21	0.23
0.60	0.96	8.09	0.63	1.01	15.88	1.17	0.95	1.78	8.19	16.25	3.48	11.67	0.54	0.39	0.09	1.33
0.17	0.28	0.96	1.02	1.30	0.03	1.28	0.13	0.34	0.30	0.61	0.04	0.30	0.56	0.69	0.68	122.32
0.00	0.60	17.29	1.72	10.20	15.46	0.28	1.35	12.01	6.86	1.49	0.24	4.90	0.68	0.59	0.57	2.34
0.10	0.81	18.32	0.89	6.04	6.87	0.56	0.63	4.36	13.52	11.58	4.87	4.88	0.08	0.97	0.04	1.67
1.09	0.52	16.30	1.01	13.96	8.08	1.01	0.56	2.68	25.51	43.43	6.49	14.37	0.48	0.40	0.45	1.82
0.12	1.26	16.43	0.82	5.74	17.37	0.21	0.10	2.86	11.21	8.91	0.73	10.66	0.47	0.27	0.04	1.09
0.00	0.40	2.69	0.78	2.52	6.52	0.13	0.31	3.46	3.75	0.71	0.13	3.29	0.41	0.45	0.03	0.00
0.00	1.68	9.36	1.21	11.04	2.40	0.43	0.53	2.67	19.17	11.71	0.42	3.78	0.03	0.22	0.05	0.82
0.00	0.73	15.88	1.16	4.01	38.26	0.56	0.67	8.09	14.95	4.50	1.59	14.69	0.00	0.56	0.22	0.38
0.00	3.27	5.35	0.54	1.51	19.54	0.24	0.45	5.32	3.85	0.54	0.13	6.20	0.45	0.30	0.16	0.46
0.00	0.86	7.90	1.07	4.29	40.06	1.00	0.80	8.84	11.83	3.17	0.98	16.67	0.29	0.21	0.22	0.00
0.00	3.18	5.44	1.01	2.23	22.80	0.00	1.75	8.47	17.11	9.81	13.77	16.84	0.00	0.58	0.15	0.94
0.00	0.38	14.26	1.20	4.36	15.66	0.79	1.09	14.52	20.71	4.73	1.50	6.43	0.21	1.86	0.24	1.40
0.00	0.77	10.46	1.20	2.42	12.05	0.18	1.10	13.86	11.65	3.39	1.78	3.92	0.09	2.03	0.16	1.35
0.00	0.94	8.61	1.04	1.01	25.91	0.62	2.48	3.18	17.33	20.24	16.83	20.66	0.60	0.70	0.20	10.66
0.88	0.54	14.59	0.39	6.82	11.31	0.47	0.13	2.55	20.17	32.57	3.28	13.28	0.37	0.45	0.30	4.77
0.84	0.72	20.58	0.67	4.23	2.97	0.27	0.05	4.04	9.71	5.93	0.21	2.26	0.11	0.21	0.46	0.36
0.00	1.18	11.96	2.18	2.82	2.91	0.22	0.37	6.52	4.24	0.67	0.37	1.09	0.75	1.28	0.05	0.23
0.00	0.77	4.05	0.95	2.80	7.94	0.26	0.52	6.39	4.87	1.69	0.28	3.23	0.47	0.16	0.11	4.27
0.00	0.86	1.56	1.30	5.24	8.72	0.41	0.54	9.45	6.09	2.48	2.03	3.49	0.81	0.76	0.01	4.00
0.00	0.32	5.14	1.19	3.27	5.90	0.19	0.32	6.21	5.03	1.41	0.16	1.99	0.17	0.29	0.14	0.64
0.23	0.65	4.15	1.04	7.55	9.43	0.53	0.51	8.28	14.40	6.05	0.43	5.98	0.18	0.43	0.17	0.87
0.20	0.76	6.38	1.58	8.03	12.83	0.36	0.46	7.21	15.72	9.39	0.62	8.37	0.22	0.38	0.10	2.76
0.35	1.46	9.85	0.75	4.43	8.41	0.15	0.30	3.21	10.95	9.09	0.41	5.63	0.37	0.37	0.07	1.19
0.00	0.94	0.46	0.67	3.53	11.44	0.44	0.99	8.19	2.49	1.01	0.64	2.42	0.69	0.43	0.03	0.30
0.00	0.60	2.33	0.49	1.63	1.07	0.38	0.53	4.57	1.73	0.43	0.43	0.95	0.46	0.64	0.10	0.00
0.00	1.14	2.23	1.46	4.30	0.63	2.74	0.44	3.28	9.15	5.02	0.15	1.76	0.44	0.43	0.10	0.00
0.00	1.02	2.79	1.00	8.56	12.50	0.20	0.24	3.80	10.00	3.37	0.44	7.29	0.15	0.25	0.37	0.15
0.00	0.77	4.43	1.05	2.36	38.63	0.14	0.27	4.15	11.45	6.34	0.74	21.84	0.14	0.40	0.16	0.30
0.79	2.04	2.66	1.77	25.89	30.56	0.94	0.17	3.72	33.99	37.72	0.86	28.60	0.41	0.64	0.23	0.10
0.00	1.16	2.39	1.55	8.87	15.08	0.27	0.34	4.63	17.44	10.04	0.28	8.94	0.63	0.77	0.45	0.19
0.00	0.26	0.13	0.52	0.48	0.31	0.20	0.47	0.28	0.30	0.47	0.16	0.51	0.64	1.02	0.75	6873.19
0.00	0.33	0.81	1.22	1.65	0.69	0.00	0.49	1.33	0.36	0.93	0.37	0.22	1.14	0.59	0.59	129.22
0.00	0.67	0.07	0.86	1.54	0.22	1.34	0.39	0.24	0.45	0.29	0.25	1.13	0.74	0.65	0.88	11.78
0.00	0.68	1.00	0.64	1.62	14.00	0.17	0.42	4.34	4.20	1.16	0.13	3.10	0.16	0.24	0.04	0.00
0.00	1.16	0.27	0.48	0.26	0.15	0.62	0.29	0.13	0.31	0.21	0.11	0.36	0.13	0.56	0.42	55.91
0.27	0.99	2.36	0.97	7.05	24.21	0.97	0.69	1.12	12.01	47.38	11.64	30.31	0.69	0.56	0.03	10.54
0.00	1.23	5.60	0.70	1.62	13.47	0.13	0.42	6.65	3.07	1.02	0.29	3.69	0.37	0.35	0.20	0.00
0.40	1.18	16.05	0.54	6.00	4.71	0.50	0.61	1.13	11.24	13.95	3.65	6.10	0.29	0.24	0.57	3.72
0.00	0.78	3.50	1.12	11.33	5.62	0.50	0.15	6.14	6.21	2.18	0.19	3.01	0.13	0.46	0.10	0.08
0.12	3.60	5.10	0.95	13.14	6.74	1.50	0.91	2.18	21.10	41.85	10.82	10.23	0.65	1.24	0.24	1.00
0.00	1.67	5.18	0.91	1.86	47.07	0.20	0.33	7.95	9.89	3.78	0.89	21.00	0.34	0.74	0.11	5.96
0.00	1.89	1.83	0.93	1.39	10.83	0.15	0.67	5.80	9.08	3.65	2.78	5.76	0.31	0.17	0.06	0.00
0.00	1.10	5.02	0.78	3.00	20.37	0.25	0.29	5.33	7.69	2.18	0.58	7.30	0.09	0.16	0.13	0.00
0.00	0.60	6.07	0.99	1.20	9.12	0.21	0.21	7.17	4.05	1.18	0.49	2.58	0.34	0.43	0.09	1.34
0.00	5.45	2.91	0.36	1.42	13.69	0.04	0.47	3.85	6.57	1.91	0.19	4.00	0.31	0.30	0.12	0.03
0.00	0.84	2.01	1.14	5.87	4.40	0.00	0.22	4.45	9.58	2.96	0.23	1.33	0.18	0.56	0.05	0.18
0.00	0.42	0.99	0.56	2.29	27.25	0.27	0.34	4.29	5.84	1.40	0.02	5.38	0.14	0.21	0.02	0.15
0.00	0.40	0.44	0.21	0.76	0.70	0.06	0.43	0.94	0.60	0.36	0.14	1.02	0.29	0.56	0.04	0.00
0.00	6.51	7.03	0.82	3.27	11.04	0.28	0.14	2.77	4.21	1.12	0.15	4.01	0.12	0.09	0.03	0.05
0.00	0.88	5.28	0.88	2.80	18.30	0.09	0.96	2.66	11.53	13.62	6.83	7.92	0.43	0.69	0.04	1.32
0.00	2.81	4.19	0.66	9.28	17.92	0.13	0.30	7.26	12.51	5.14	0.69	8.61	0.08	0.36	0.17	0.60
0.00	0.83	0.35	0.49	0.99	1.09	0.23	1.26	2.30	1.14	0.56	0.94	1.09	0.28	0.33	0.02	0.24
0.00	0.59	5.86	0.61	1.95	8.76	0.21	0.74	2.60	2.93	0.51	0.27	2.80	0.28	0.41	0.13	12.92
0.00	0.90	5.80	1.36	8.22	20.62	0.22	1.07	8.95	8.17	2.87	0.66	9.54	0.36	0.14	0.23	0.00
0.22	0.65	4.23	1.29	12.03	11.36	0.60	0.11	2.08	11.55	9.65	0.07	9.00	0.13	0.34	0.08	1.12
0.00	1.08	3.09	1.46	0.88	34.02	0.76	1.15	9.84	10.32	3.04	1.83	11.25	0.55	0.36	0.11	3.33
0.00	0.59	5.38	0.78	1.82	15.51	0.15	0.19	4.75	3.06	1.06	0.13	6.95	0.50	0.40	0.08	0.00
0.00	1.02	3.40	0.90	1.90	44.57	0.25	0.22	5.99	11.11	3.03	0.43	21.54	0.39	0.36	0.04	0.19
0.00	0.39	3.99	0.83	0.55	30.46	0.64	1.33	6.48	10.96	4.09	7.97	14.39	0.64	0.99	0.04	12.70
0.00	0.82	3.05	0.90	0.33	33.65	0.36	2.04	6.30	11.99	6.10	5.59	18.81	0.24	1.04	0.01	17.33
0.00	3.02	2.15	1.41	1.17	44.04	1.31	4.22	2.95	22.30	45.24	22.04	52.16	1.85	0.80	0.06	5.68
0.00	0.24	3.08	1.35	5.66	5.18	0.36	0.05	11.70	6.66	2.07	0.74	2.63	0.22	0.46	0.03	0.16
0.00	16.01	10.95	1.25	4.28	33.94	0.10	0.54	6.06	8.99	4.75	2.01	23.18	0.31	0.28	0.06	3.91
0.00	0.63	6.51	1.05	0.84	17.40	0.24	1.74	1.62	13.92	17.80	8.21	13.08	0.08	0.46	0.11	3.92
0.05	0.73	6.12	0.93	6.19	20.27	0.30	0.56	3.00	17.87	15.65	1.56	11.36	0.38	0.76	0.01	6.87
0.57	1.16	20.45	0.90	10.04	10.54	0.85	0.21	3.76	24.43	18.13	1.60	6.95	0.10	0.72	0.44	0.56
0.00	0.61	0.97	0.76	0.15	15.78	0.10	1.82	6.74	5.37	1.80	10.37	6.09	0.66	0.34	0.04	1.96
0.56	0.96	15.46	1.35	10.98	7.25	0.42	0.06	5.12	16.64	8.69	0.46	5.31	0.43	0.61	0.07	0.02
0.00	1.02	3.33	1.48	1.63	52.49	0.72	1.77	6.76	18.23	10.02	11.27	27.77	0.35	0.34	0.20	6.45
0.00	1.09	5.28	1.16	0.91	31.07	0.45	2.01	4.56	17.52	16.76	14.30	22.96	0.29	0.42	0.11	11.01
0.00	1.21	4.37	1.33	2.79	18.10	0.43	0.93	10.89	17.46	5.45	11.77	6.82	0.90	0.58	0.52	0.63
0.00	1.12	0.85	1.24	1.87	0.41	0.40	0.52	1.58	2.71	0.97	0.35	0.81	1.63	0.22	0.83	185.83
0.34	0.62	5.54	1.13	7.50	2.22	0.00	0.30	3.44	11.55	8.81	0.24	2.38	0.69	0.37	0.63	120.23
0.00	0.78	2.73	1.16	7.40	2.80	0.91	0.37	8.61	4.24	1.32	0.50	1.08	1.04	0.46	0.14	0.50
